Symbol,TradeDate,Quantity,Price,Commission,Buy/Sell
AAPL,20250101,100,150.00,-5.00,BUY
AAPL,20250105,-100,155.00,-5.00,SELL
GOOGL,20250102,50,2800.00,-10.00,BUY
GOOGL,20250108,-50,2750.00,-10.00,SELL
TSLA,20250103,75,200.00,-7.50,BUY
TSLA,20250107,-75,210.00,-7.50,SELL
MSFT,20250104,80,300.00,-8.00,BUY
MSFT,20250109,-80,295.00,-8.00,SELL
NVDA,20250106,40,500.00,-6.00,BUY
NVDA,20250110,-40,520.00,-6.00,SELL
AMZN,20250111,30,3200.00,-9.00,BUY
AMZN,20250115,-30,3150.00,-9.00,SELL
META,20250112,60,350.00,-7.00,BUY
META,20250116,-60,365.00,-7.00,SELL
NFLX,20250113,25,400.00,-5.00,BUY
NFLX,20250117,-25,390.00,-5.00,SELL
SPY,20250114,200,450.00,-10.00,BUY
SPY,20250118,-200,455.00,-10.00,SELL
QQQ,20250115,150,380.00,-8.50,BUY
QQQ,20250119,-150,375.00,-8.50,SELL
IWM,20250116,100,220.00,-6.00,BUY
IWM,20250120,-100,225.00,-6.00,SELL